ul,Chi-Squared,SSD,Reg_Slope,Reg_Intercept,Z-Test_1,Z-Test_2,Z-Test_3,Z-Test_4,Z-Test_5,Z-Test_6,Z-Test_7,Z-Test_8,Z-Test_9
2,125636.57891980158,0.4347198830657364,2.3391003617873376,-0.14878892902081525,135.31361197224686,271.1064218677867,119.4463449622774,103.58488886140785,92.72496170725424,84.69918560972346,78.4547224763326,73.41636365398011,69.23955374022943
3,189159.7885030602,0.5468560348534471,1.4145792533569346,-0.04606436142854828,96.0251520045614,415.54295986726476,33.49122355968557,101.78613290376786,92.72496170221872,84.69918560518401,78.4547224721677,73.41636365011068,69.23955373660068
4,136622.6271093151,0.4394083721126229,0.8830010016123658,0.012999888743070467,144.0291017880009,190.3346110811463,268.23860815122845,4.209528122782988,87.92422480271479,84.62291125894035,78.4547224638379,73.41636364237182,69.2395537293432
5,116862.80311842874,0.39900997955513673,0.5016454916184443,0.05537272317572841,163.47009589944304,54.231098420238034,243.1910507388819,158.9752412078487,19.243833439016083,76.16007885281869,78.01861409103175,73.41636363850239,69.23955372571444
6,100638.9781580993,0.37201002882128037,0.22082309840778414,0.08657521128802398,173.20029535011636,12.636180753374742,153.3444942774016,201.3402702629384,94.42699643514537,22.470045672809206,66.5559885874207,72.06850319752155,69.1478717756495
7,91870.82793140782,0.36006993505743445,-0.006128547154346231,0.11179206079492736,179.4368418163186,53.13824602096106,81.6283200427027,175.6981793610407,154.21910460762757,58.72578317078551,23.934048884747295,59.47861800423646,67.18840417977611
8,83058.05752708914,0.34862170685914584,-0.1728119739719814,0.13031244155244237,182.04839361043173,74.17530172925478,31.65085291113538,124.85312511151879,158.5353261824474,115.82464353000788,38.84985974109171,23.49701911715576,54.09057835782398
9,77160.84035818161,0.3362696582654364,-0.26510300696013583,0.1405670007733484,176.95517330336898,89.05261691054365,2.4418151288895684,81.51581093310402,136.71208248559134,135.7322853387726,87.27367583977764,25.209901111794494,23.97683534606334
10,71990.0115060848,0.3152561850792157,-0.25470950242148577,0.13941216693572064,159.45686699890305,100.05259456550864,27.13868131854349,45.930965695120534,111.16417041025129,130.82182449632856,111.32584169512215,66.11207060751892,15.965817816450084
11,66478.5229162825,0.28720434285674096,-0.160124990503947,0.12890277672266076,132.80123720769802,108.03524053442153,42.79742751415405,21.574664887259736,79.87707070578315,112.65609588053285,119.23425862676903,95.50910399601182,53.58085780331795
12,57933.35865028954,0.24835708612873028,0.05128070716733531,0.10541325475918496,90.9784405452132,112.20409786060151,56.98739044594295,0.8116989821959676,53.67422457251759,93.35050613661686,113.3497876615549,102.75829110145675,79.42315339462085
13,50526.64727862412,0.21926492900544953,0.2869001068667338,0.0792333214592518,47.84407041064539,116.99671101012243,64.82938682011282,16.460120392060567,33.33505923856814,74.38188925736313,99.36764728683094,104.63624405116272,90.66434063832543
14,45062.62695383171,0.20479093905219442,0.5502008849639632,0.049977679448448525,1.9354573842341256,119.1348759166313,72.9968210006009,29.906537294366103,13.847613038326633,55.91891213178444,84.09252905195007,96.07756537033973,99.11871206819124
15,42527.36315186822,0.21068812646357654,0.7926323393926221,0.02304085117859754,39.37954066109638,121.28024277871212,79.03221031177468,40.22180429734872,0.8693765754630639,39.2505759499996,70.28073143295319,90.18809638369025,94.83948945862566
16,41363.572652998075,0.2303421050816835,1.041684935282475,-0.004631659475830566,80.2718111895942,122.69347367349206,82.2541310792794,46.10445993182251,12.114426891269067,22.83008167337609,54.445889258820586,77.25867977960496,88.85243479682242
17,42573.23129744723,0.2594911423840375,1.277902773993805,-0.03087808599931166,118.11730264941633,121.71544665429083,86.71479935207671,53.435178045489515,19.71169255700336,10.588765605729305,40.23998124566305,61.23889626201327,78.66690414343206
18,45306.664788954244,0.2850991478647287,1.4564518924524115,-0.05071687693915683,145.70758333466688,118.05154081660882,90.64598847615606,57.3158313752235,28.837437896356427,-0.003166744893699432,28.61085310462152,52.06762401812403,70.28256343458834
19,48095.69411201251,0.30752308975832743,1.615297979735498,-0.06836644219283311,168.79930601933899,111.64439728065493,92.97062765458762,62.45460898000272,35.779807251601035,9.38907871908724,17.902245466924608,43.097703986908584,60.50621202348233
20,50023.278939171025,0.32406847785627635,1.746007567089534,-0.0828897296766149,186.21436720515555,103.27088452603105,93.8868240165414,66.60076422470837,41.6301763844763,15.87910473969346,10.630212682321286,31.29229085479354,50.23609170302788
21,51514.5614810673,0.33566752350086815,1.8560668504571016,-0.09511853893967795,199.12220370208328,91.46878216323651,95.56604673242013,70.40915210711715,45.10809885966822,22.10424571510261,0.40247235398840653,22.18113409785389,41.42256631370564
22,51777.40290081872,0.339736864400087,1.9418128204034923,-0.10464586893372135,206.1248214283893,74.19789050620189,97.56606274630467,73.03006276283426,49.56779737092363,29.23896813569534,8.252951550223475,14.597874822038927,33.43203088474773
23,50302.282874707955,0.3356594276053296,1.9895188578298408,-0.1099465397588712,206.28954907223905,55.56473576663555,98.23141423974486,74.87412363379615,53.85912130833408,32.84548236787678,11.95261026193873,5.536213705378968,26.319859952352516
24,49140.90147323584,0.3315841309968933,2.037836576619086,-0.11531517517989842,205.61140267873472,35.21529312461005,98.17485502604164,76.89024709477617,55.91782883409782,37.69948597823586,18.997111054217736,0.37334948928031725,16.07092444166996
25,48399.996001234365,0.3263302560057706,2.0692077497863113,-0.11880086108736793,202.3995067159825,14.825769073078865,97.53335151035344,79.50453029743207,59.63736193375062,40.939560837138465,24.96923298965831,5.797622814364679,9.721765099567278
26,46373.607782267834,0.31452905853261504,2.0666409775194228,-0.11851566416882475,193.07531205879715,7.197486545626079,96.80207166675474,80.54858305339566,61.41682865827199,43.98371510400703,28.795071738988202,11.05508720470826,6.11411914280535
