ul,Chi-Squared,SSD,Reg_Slope,Reg_Intercept,Z-Test_1,Z-Test_2,Z-Test_3,Z-Test_4,Z-Test_5,Z-Test_6,Z-Test_7,Z-Test_8,Z-Test_9
2,125200.17661512013,0.4341864175174584,2.343430375769015,-0.1492700416854461,136.60632803958205,269.56624211498433,119.46547455138683,103.58488886140785,92.72496170725424,84.69918560972346,78.4547224763326,73.41636365398011,69.23955374022943
3,185907.95763279826,0.5412223881047744,1.4182049392482798,-0.04646721541647553,94.13207146674208,410.88358899340085,36.25147409809213,101.80742203929957,92.72496170221872,84.69918560518401,78.4547224721677,73.41636365011068,69.23955373660068
4,137078.71521771618,0.44049278787838075,0.8816223753913306,0.013153069434296602,144.6191671029291,191.37929527868053,268.28923565531153,4.81329439593123,87.73716333081939,84.68647637666335,78.4547224638379,73.41636364237182,69.2395537293432
5,115022.69524777775,0.3959905603514389,0.5099342734624898,0.05445174739305669,162.1945527916142,55.65390869574014,241.92367549430278,155.28374812474493,18.185357900728146,75.80501245289564,78.0050762770097,73.40190816123072,69.22431306968967
6,101055.62399990638,0.3725058114797321,0.2197901671897965,0.08668998142335593,172.87981895718957,14.58250182678306,154.67536974756604,201.61942399413616,94.1760204606058,21.345204395003098,66.98399668555541,72.22839537008521,69.17845653286703
7,91188.52701092669,0.3591991194389935,-0.005368688818606138,0.11170763209095623,179.50044905354846,52.4525040047231,82.09620622749978,174.24095013516572,153.06262885605605,59.51486967227117,22.93673524001232,59.75488376794674,67.24969290927599
8,83259.880208006,0.34826080934052883,-0.17016106629059685,0.13001789625451077,181.5383706027792,74.24661858175826,31.753328444478402,122.65831071637703,160.3639461178181,116.74180861352205,38.67883254102007,24.3107202275114,54.54578939679389
9,77876.51236378484,0.3379047714467409,-0.2676579972295733,0.1408508885810637,177.41741105391716,90.1636502279311,1.2721281513647928,82.77350859196046,139.25321818420693,136.01648847284545,84.63561861882746,24.22013241079148,24.19771710271658
10,72360.56810973404,0.3168494616321235,-0.2623969345124886,0.14026632605694317,161.25808051374912,99.14889882002107,27.052037360618844,49.76065988515094,106.83239648531385,132.50350484467546,112.88177851430129,65.66003469180859,15.035945077821141
11,65881.06820919282,0.284992943591282,-0.14794014169740816,0.12754890463304536,130.87916641648974,107.73362548234859,43.22953644140634,21.066389300712135,77.65224196179513,113.92381017697944,120.06607289975175,94.95773389317067,51.22468913395929
12,57831.14166912808,0.2489547997474613,0.04604347588081406,0.10599516934657621,91.9658061710063,113.00940178519484,55.41783067736629,1.352433415291075,53.53465358428589,91.74829084369966,113.38029579267176,103.80834951473794,78.45141488902296
13,50517.321468250266,0.21898397208183254,0.2832734898887591,0.07963627890124898,48.81487732807104,115.6033312175406,65.86077647098267,15.381677484674231,32.6824012931834,73.92330903097671,99.30824332769082,105.77559349592062,90.6178562772321
14,44463.37146386545,0.20384214461753644,0.5515878276128302,0.04982357470968553,2.0306281780831785,118.92221838377155,73.34217291289042,27.667701986277326,15.44755304722636,52.7484870702742,83.62553988212024,98.82765523935434,95.66426944252235
15,42454.92276464414,0.2120949899342765,0.8112713903140927,0.020969845520656366,42.69493606369491,122.35387030814668,78.72388179286234,39.767555831348346,0.17743610710204782,37.338122761851565,67.47277929344506,88.63211485047724,96.82417537250186
16,40899.45788878165,0.23100200468407228,1.0539555951229063,-0.0059950661247673565,82.09511521373123,122.75583231276151,82.67300251126858,45.51761568142744,10.422462942349119,21.736530397697376,51.99044728599138,77.33444990224646,86.58375935888449
17,42969.04444394893,0.25856489924493037,1.262815694986083,-0.029201743887342535,116.11354610249796,122.50823688396456,86.74812795027277,52.460019466129324,19.647829936557507,10.0097247292932,40.64188153802009,63.0724089681966,81.41022831247724
18,45294.91017380857,0.2847981077418661,1.4530257334165362,-0.05033619260183736,145.28548489650925,118.68231609552326,89.96951789054138,57.84769067428206,26.533698381931384,0.650081746157856,26.87100679678216,51.93597296942514,71.93078496976509
19,47839.335112353525,0.30642318258579565,1.6116109909373297,-0.06795677677081441,168.06373846846287,111.61669313344802,91.73453609744158,63.469191882170435,35.647190941128585,8.504438204743009,17.666250570929844,42.40845716949078,61.312071810109224
20,50872.38962122262,0.3274826060075145,1.758363214873191,-0.08426257943035453,188.5754201637947,104.0506800896898,94.43269297240252,67.14364900637011,40.72632186373852,16.83575736244677,8.527826208172378,31.290790850832877,50.43633718046378
21,51230.35975769432,0.3338638930492975,1.8503500244103646,-0.09448333604559606,197.88335856529858,90.46144424729856,95.54498635053706,69.59761611910342,46.404753451363874,23.21418599680837,0.021357655003135675,24.547403089660186,42.12114132689505
22,51500.673399587125,0.3396024886487934,1.9442680603547415,-0.10491867337274904,206.27145161315266,73.90891217154646,97.60530753783334,72.24599861416388,50.9538539510293,27.589543890594697,6.712740506609549,13.932300038767112,30.33264833133881
23,50972.36309238627,0.3382343722383381,1.9983609851113306,-0.11092899834570341,208.0053466573565,56.14895945926342,98.83459334513209,74.90236875308653,53.704975325492505,33.376237018302255,13.142886733823422,6.446804845928655,25.419676314913833
24,49814.776294906704,0.334269164768892,2.040071243530618,-0.11556347150340202,207.24397288156229,38.20092298409057,98.42220624042464,77.19857999985811,55.981494837576605,36.8448054417354,18.108709864889583,0.2859278442049091,16.731483847867906
25,47505.125435223956,0.323723778963536,2.055824660921874,-0.11731385121354154,200.73002000024238,16.26143069883028,97.49687637388884,78.41444651926614,59.04248896775897,40.764551527248386,20.681525559923664,5.149137191461148,7.944878365460088
26,46072.273943207874,0.31363049973816703,2.0641220462176615,-0.11823578291307349,192.4793112431481,7.579384870652811,96.97348434333787,79.9498265857543,61.79371586688555,43.59915945766161,27.536858648139827,10.434908271840618,4.115705086806376
27,44143.64475528429,0.30148127266451563,2.05089547330202,-0.11676616370022444,181.7626696714286,27.76963530576152,93.42639053377798,81.74941962329638,63.45819408108405,46.24373587145743,30.13331195797132,13.743007993638445,0.5065732754934227
28,43728.25210063596,0.2939275495154655,2.045720655527279,-0.11619118394747543,172.51092793443604,47.7565730814228,90.70795695058547,83.17243440922188,64.97720567467233,49.4538259386414,34.2455762923315,17.943195083039416,4.086568460118675
29,43088.37042936971,0.2848317325268819,2.029942268189691,-0.11443802979885456,160.75305024804382,68.01515355777137,84.4020512014848,84.52498390785816,67.35639582647012,50.3977197694623,38.50696596462165,23.026284310683376,8.93805159939644
30,42056.93111086042,0.2740500651877756,1.9929112696398865,-0.11032347440443183,146.3059855980486,86.24384896607577,77.29020496360889,84.64318094154878,68.32833375805212,53.82905707748817,39.594516922498656,26.374068651697797,11.431867790272248
31,42069.75036211727,0.2669580547770404,1.9622141635679986,-0.10691268484088873,132.70943613137777,104.00712839024482,68.82127401501123,84.58740660108617,69.73537117664479,56.70566549187457,42.59132952305811,29.179327891639456,15.875725732089851
32,42088.73271527498,0.2608577877355448,1.9242785385775265,-0.10269761539750291,119.27426706420202,118.55601232993068,60.27386545063627,84.54096132614832,71.15077817307976,56.7775318884949,45.53672356469954,32.44803886836455,17.83824608537635
33,41489.702129692785,0.25354575182151373,1.8804348457636404,-0.09782609397373782,105.56982937557626,129.50084394149295,48.52756201702988,83.09931650287955,72.07934794841063,58.52082296316553,46.00580797373665,34.51009754738261,22.349156905432316
34,42191.43167580668,0.2513137580669251,1.849472245269477,-0.09438580502994187,94.57357948156294,139.87854068002486,38.654726804114915,83.35889951874488,71.8313128623029,59.83791286671454,48.19337237143029,37.22252164767347,25.820565689764095
35,41708.12760309929,0.24518216110212387,1.7988511200805548,-0.08876123556450607,80.91746075801733,146.8156858418053,24.29239023079881,81.12297851866222,73.14163195628834,61.33126491260116,49.231770765506525,39.22466647967246,27.62822242135423
36,41678.82436254744,0.24211005089538848,1.7681182180512371,-0.08534646867235968,72.28078173896277,150.54256099308955,13.033113709955638,80.3134587517264,73.43440872174831,61.57198148412473,50.8840135458183,39.41439005848758,31.71051466361716
37,41487.34151718624,0.23784441517615384,1.7120842362599937,-0.07912047069555486,58.46742993284754,155.40033724154497,1.0625512525565606,75.997383984507,74.06050212598038,63.091223548883306,52.74065962465073,41.26813081467146,32.01524993412524
38,42157.23787790937,0.2368876989813852,1.6677104328580838,-0.07419004809534266,46.75910021967408,159.718880373915,14.639359395687372,72.15870696234974,74.80693266523207,64.57508365582768,53.715300355701935,43.0441355820506,35.4012866854152
39,42216.89518645938,0.23482675562364008,1.6172509118197878,-0.06858343464664307,35.14551608818433,161.5613592115345,27.235863458633457,66.87983692838557,74.83893968966427,64.99242041498127,54.35202351895055,46.455482904490125,35.822249508302626
40,42174.35383129542,0.23307880993640773,1.5644847320525337,-0.06272052578361484,23.932735593955694,161.83178155847588,39.46260645297663,61.46027864777188,75.47862208876228,64.95612166134316,56.06030600260831,45.517127945941986,37.016249135370565
41,42288.956729621146,0.2314214375862226,1.5271671209078528,-0.05857412454531696,15.920922895311254,159.61355768411823,51.95623153971792,55.635046921780386,74.8200082332184,66.84780252293596,56.88259606359505,47.07053296837437,39.43284638235002
42,41812.13850394629,0.22949468127482106,1.475354644231145,-0.05281718269234942,6.078108523015035,157.7148303257056,61.42975315303679,49.65363068440244,72.93872180397058,66.98512668752626,56.00549232414314,47.8044042548052,40.29781913559677
43,41502.719983028546,0.22689663978816643,1.4353252232500504,-0.0483694692500056,1.11023914588423,152.55181805745787,72.78102676912853,41.93954504287765,72.03736488722606,67.23176193227205,58.61762115624673,49.767384580229404,39.85307112264406
44,42559.398291557925,0.22917482242721146,1.391773826934751,-0.04353042521497233,10.073584165284396,150.58709858060018,84.17471781411955,35.011513802523,71.86500042419911,68.50120671179056,58.51535341949619,49.41201937327819,43.62626125150662
45,42294.70144828157,0.2274947428903249,1.3533878263295678,-0.03926531403661865,16.77270902705638,145.90890113464363,91.43414553857187,25.14143026695887,69.22061369705156,68.16959454334348,60.342901619494356,51.7560240706657,45.151770043542676
46,42010.800065044255,0.22674021457547552,1.301003384694788,-0.033444820521643104,25.22098767642681,140.01866983841023,100.77379566360482,18.095738663196858,66.03694960643918,68.21018449226806,59.309083668649585,52.72837769933797,44.81960436891403
47,42434.65064667664,0.227826157870286,1.2604065845643353,-0.028934064951592814,32.21309703932639,135.8065858976308,107.73269710478179,9.27146296269056,64.02883138743324,67.98564284255153,60.882770195291414,53.00825834742094,46.10537817088094
48,43160.806017797746,0.2301642585766691,1.222029059021567,-0.024669895446840784,39.134698921490305,132.92164703352748,113.15639765849095,0.8783234533740774,60.29344774255184,68.77947825385574,61.49963819568844,55.153774685903386,47.04268973412997
49,42351.2472811503,0.22709424344287996,1.1807501065730082,-0.020083345174778694,44.06411234725977,123.24483385786527,119.40660521433207,8.937208657498383,56.6677730552309,67.90547824405135,61.98316480382526,55.20372426404696,47.52112511256283
50,42113.73893743861,0.2276812021821123,1.1350991983792083,-0.015011022042134253,50.99576045810253,118.92780632112746,121.69328482435664,17.96114934829512,52.054154657899204,67.1664221294186,62.16091757757639,55.1898093747315,47.49127924559327
51,43246.70276691862,0.23233848956744269,1.091506595924065,-0.010167399547118344,58.62416904899351,116.38431130427912,126.11723943956265,25.566524187764006,47.89973674961091,66.33760057838322,62.392712293186506,56.6508268305701,48.436856403167134
52,42714.0954746736,0.23053761736228953,1.0543721787559537,-0.0060413531951059585,62.577252231708556,107.12569721911476,130.3105942819864,33.38875213818508,42.194960590656315,64.87881432662869,63.69368853675715,56.03546562448059,48.902182064648784
53,42885.43766010532,0.2312876196663774,1.0143448573099112,-0.0015938730344345758,67.48826695966761,99.13600981008054,134.3672745617398,42.00204834804351,37.81926937371447,63.906781189328186,62.678608007206265,56.24568930759808,49.90189975336263
54,42042.43208258365,0.2289856919628367,0.9838245637999223,0.001797270688897512,70.57682665986889,92.8174114282127,132.57128403673852,50.721113941154506,31.402755117474037,61.91914743473545,63.47707095493266,56.42853858966599,50.689336560837454
55,43377.845883563634,0.23419406231532394,0.9425850267302854,0.006379441474412731,77.07780656843292,88.97329647144137,135.79906655904225,57.80326707559612,26.35385082056424,60.15120335268425,63.87161001161565,58.19076982473912,50.8850093774016
56,42953.32754930321,0.23384308573211662,0.9062628852833848,0.010415234968512793,81.28376322493999,83.61131780243971,132.86925129040213,66.96920918841914,19.58220936030289,58.42623194077354,63.311392398955654,57.639573056216584,52.240236867937
57,42932.79639854249,0.2349191831767276,0.8682325670756994,0.01464082588047784,85.58761079576419,76.74699416588021,134.20378140705805,71.85451629373358,12.363966871095677,55.58055562036531,62.552620084013846,57.68671566395301,52.838261045040106
58,42553.70044896397,0.2345075953181336,0.8427702462485374,0.017469972639051437,88.258605907836,72.60373460579237,131.76932257532465,77.27465331307359,7.630325983360532,51.76599395199146,62.26296146739564,58.65105441217741,53.230501593052054
