CODE,SEX,ZEITRAUM,ALTERVON,ALTERBIS,NORMVON,NORMBIS
C4,AL,Monat,3,12,"0,1","0,4"
C4,AL,Jahr,1,123,"0,1","0,4"
PCT,AL,Jahr,0,123,0,"0,05"
IL1R,AL,Jahr,0,123,0,400
IL10,AL,Jahr,0,123,0,"9,1"
IL6,AL,Jahr,18,123,2,4
IL8,AL,Jahr,0,123,0,70
COES,AL,Jahr,0,123,"0,18","0,45"
GAL3,AL,Jahr,0,123,"1,9","14,3"
F_aP53,AL,Jahr,0,120,"0,02",100
FER_e,M,Jahr,20,60,30,400
FER_e,W,Jahr,17,60,13,150
AMIO,AL,Jahr,0,123,"0,7","2,5"
DESA,AL,Jahr,0,123,"0,42","1,5"
CYAR,AL,Jahr,0,123,150,250
CYAT,AL,Jahr,0,123,300,600
DIGO,AL,Jahr,0,123,"0,5",2
DIGI,AL,Jahr,0,123,10,30
GEND,AL,Jahr,0,123,"0,5",2
GENP,AL,Jahr,0,123,5,10
GENT,AL,Jahr,0,123,"0,5",10
NETP,AL,Jahr,0,123,5,12
NETD,AL,Jahr,0,123,0,3
TOBP,AL,Jahr,0,123,5,10
TOBD,AL,Jahr,0,123,0,2
VANT,AL,Jahr,0,123,10,15
VANP,AL,Jahr,0,123,20,40
PHEB,AL,Jahr,0,123,10,40
DPH,AL,Jahr,0,123,10,20
THEO,AL,Jahr,0,123,8,20
AMID,AL,Jahr,0,123,0,5
AMIP,AL,Jahr,0,123,15,25
CARB,AL,Jahr,0,123,4,11
FLEC,AL,Jahr,0,123,"0,2",1
LIDO,AL,Jahr,0,123,"1,5",5
PRIM,AL,Jahr,0,123,5,15
PROP,AL,Jahr,0,123,20,300
TOBR,AL,Jahr,0,123,2,10
proBNP,W,Jahr,16,49,0,170
proBNP,W,Jahr,50,59,0,250
proBNP,W,Jahr,60,123,0,400
proBNP,M,Jahr,16,49,0,100
proBNP,M,Jahr,50,59,0,172
proBNP,M,Jahr,60,123,0,280
proBNP,AL,Jahr,0,3,0,320
proBNP,AL,Jahr,4,6,0,190
proBNP,AL,Jahr,7,9,0,145
proBNP,AL,Jahr,10,14,0,360
proBNP,AL,Jahr,15,16,0,200
TSH,AL,Monat,0,1,"1,1",18
TSH,AL,Monat,1,12,1,8
TSH,AL,Jahr,1,5,"0,8","6,3"
TSH,AL,Jahr,6,10,"0,8","5,4"
TSH,AL,Jahr,11,14,"0,7","4,6"
TSH,AL,Jahr,15,18,"0,5","4,3"
TSH,M,Jahr,19,123,"0,3",4
TSH,W,Jahr,19,123,"0,3",4
FT3,AL,Tag,0,2,3,9
FT3,AL,Tag,3,30,3,5
FT3,AL,Monat,1,12,2,6
FT3,AL,Jahr,1,70,2,"4,3"
FT3,AL,Jahr,71,123,"1,4","3,8"
FT4,AL,Tag,0,2,"1,6","3,8"
FT4,AL,Tag,3,30,"1,5",3
FT4,AL,Monat,1,12,"1,1","1,8"
FT4,AL,Jahr,1,50,"0,9","1,7"
FT4,AL,Jahr,51,70,"0,7","1,6"
FT4,AL,Jahr,71,123,"0,65","1,7"
CORS,AL,Jahr,0,123,6,18
ST2,AL,Jahr,0,120,0,35
ALDS,AL,Jahr,0,1,300,1300
ALDS,AL,Jahr,1,15,50,500
ALDS,AL,Jahr,15,123,10,160
Renin,AL,Jahr,20,40,"3,6",20
Renin,AL,Jahr,41,60,"1,1",20
Renin,AL,Jahr,61,123,"0,1",16
Renin,AL,Jahr,0,19,4,40
ReninT,AL,Jahr,20,40,"3,6",20
ReninT,AL,Jahr,61,123,"0,1",16
ReninT,AL,Jahr,41,60,"1,1",20
ReninT,AL,Jahr,0,19,3,30
ReninH,AL,Jahr,20,40,5,40
ReninH,AL,Jahr,41,60,2,60
ReninH,AL,Jahr,61,123,"0,4",35
ReninH,AL,Jahr,0,19,5,60
RENQ,M,Jahr,18,54,"1,4","14,2"
RENQ,M,Jahr,55,123,"0,9","22,4"
RENQ,W,Jahr,18,54,"0,9","20,3"
RENQ,W,Jahr,55,123,"0,7","25,5"
ALDT,AL,Jahr,0,1,10,1300
ALDT,AL,Jahr,1,15,50,500
ALDT,AL,Jahr,15,123,10,160
ALDH,AL,Jahr,0,1,20,1600
ALDH,AL,Jahr,1,15,50,800
ALDH,AL,Jahr,15,123,40,310
ADRP,AL,Jahr,0,123,40,80
ADU,AL,Jahr,0,123,5,20
NAP,AL,Jahr,0,123,150,280
NOU,AL,Jahr,0,123,20,100
DOPP,AL,Jahr,0,123,30,80
COR1,AL,Jahr,0,123,15,25
COR2,AL,Jahr,0,123,10,20
CORU,AL,Jahr,0,123,42,218
FCOU,AL,Jahr,0,123,30,150
DOPU,AL,Jahr,0,123,200,450
GESC,AL,Jahr,0,123,200,500
MENE,AL,Jahr,0,123,0,"1,3"
MENC,AL,Jahr,0,2,0,3
MENC,AL,Jahr,3,10,0,2
MENC,AL,Jahr,11,123,0,"1,8"
5HIE,AL,Jahr,0,123,2,9
HVA,AL,Jahr,0,123,0,"6,9"
HVAC,AL,Jahr,0,1,0,"32,6"
HVAC,AL,Jahr,2,4,0,22
HVAC,AL,Jahr,5,9,0,"15,1"
HVAC,AL,Jahr,10,19,0,"12,8"
HVAC,AL,Jahr,20,123,0,"7,6"
LEUL,AL,Monat,0,1,0,"0,019"
LEUL,AL,Monat,1,12,0,"0,01"
LEUL,AL,Jahr,1,14,0,"0,009"
LEUL,AL,Jahr,15,123,0,"0,005"
TPL,AL,Woche,0,1,25,70
TPL,AL,Woche,1,52,15,45
TPL,AL,Jahr,1,123,15,45
ALBL,AL,Jahr,0,4,0,45
ALBL,AL,Jahr,4,18,10,30
ALBL,AL,Jahr,19,123,10,35
GLUL,AL,Jahr,0,14,60,80
GLUL,AL,Jahr,15,123,50,75
LACL,AL,Jahr,0,15,"1,1","1,8"
LACL,AL,Jahr,15,123,"1,5","2,1"
IGGL,AL,Jahr,0,123,10,40
